No.,検索開始時間,検索終了時間,検索間隔,UA,location,検索ワード,検索上限,exec_time,exec_count
1,0:00,23:59,0,0,0,地域なしUAなし１,1,2024/04/28 00:04:32,1
2,0:00,23:59,0,0,0,地域なしUAなし２,1,2024/04/28 00:08:06,1
3,0:00,23:59,0,0,0,地域なしUAなし３,1,2024/04/28 00:11:52,1
4,0:00,23:59,0,0,0,地域なしUAなし４,1,2024/04/28 00:25:06,1
4,0:00,23:59,0,0,0,地域なしUAなし５,1,2024/04/28 00:29:21,1
4,0:00,23:59,0,0,0,地域なしUAなし６,1,2024/04/28 00:33:45,1
4,0:00,23:59,0,0,0,地域なしUAなし７,1,2024/04/28 00:37:29,1
4,0:00,23:59,0,0,0,地域なしUAなし８,1,2024/04/28 00:41:17,1
4,0:00,23:59,0,0,0,地域なしUAなし９,1,2024/04/28 00:44:55,1
4,0:00,23:59,0,0,0,地域なしUAなし１０,1,2024/04/28 00:48:40,1
4,0:00,23:59,0,0,北海道三笠市,地域ありUAなし北海道１１,1,2024/04/28 00:56:34,1
4,0:00,23:59,0,0,沖縄県うるま市,地域ありUAなし沖縄県１２,1,2024/04/28 01:00:04,1
4,0:00,23:59,0,0,名古屋市役所,地域ありUAなし名古屋１３,1,2024/04/28 01:03:47,1
4,0:00,23:59,0,0,ナゴヤドーム,地域ありUAなし名古屋ドーム１４,1,2024/04/28 01:07:19,1
4,0:00,23:59,0,0,北海道三笠市,地域ありUAなし北海道１５,1,2024/04/28 01:10:56,1
4,0:00,23:59,0,0,沖縄県うるま市,地域ありUAなし沖縄１６,1,2024/04/28 01:14:48,1
4,0:00,23:59,0,0,名古屋市役所,地域ありUAなし名古屋１７,1,2024/04/28 01:18:18,1
4,0:00,23:59,0,0,ナゴヤドーム,地域ありUAなし名古屋ドーム１８,1,2024/04/28 01:22:04,1
4,0:00,23:59,0,0,北海道三笠市,地域ありUAなし北海道１９,1,2024/04/28 01:25:40,1
4,0:00,23:59,0,0,沖縄県うるま市,地域ありUAなし沖縄２０,1,2024/04/28 01:29:23,1
